agrocyc_dag_uniq.gra,12684,27314,sequential,8,112983,88712,21422,2848,
agrocyc_dag_uniq.gra,12684,27314,sequential,8,113468,88850,22098,2519,
agrocyc_dag_uniq.gra,12684,27314,sequential,8,116540,89672,24275,2592,
agrocyc_dag_uniq.gra,12684,27314,sequential,8,125873,98332,25040,2500,
agrocyc_dag_uniq.gra,12684,27314,sequential,9,114312,88162,23607,2542,
amaze_dag_uniq.gra,3710,7894,sequential,6,28722,20277,7121,1323,
amaze_dag_uniq.gra,3710,7894,sequential,6,27291,19854,6434,1002,
amaze_dag_uniq.gra,3710,7894,sequential,6,27791,19639,7010,1142,
amaze_dag_uniq.gra,3710,7894,sequential,6,27487,19872,6656,958,
amaze_dag_uniq.gra,3710,7894,sequential,6,26998,19280,6567,1150,
anthra_dag_uniq.gra,12499,26654,sequential,8,111800,90066,19218,2516,
anthra_dag_uniq.gra,12499,26654,sequential,8,109225,87848,18672,2704,
anthra_dag_uniq.gra,12499,26654,sequential,8,107790,87316,18117,2355,
anthra_dag_uniq.gra,12499,26654,sequential,8,105888,84877,18562,2448,
anthra_dag_uniq.gra,12499,26654,sequential,8,128840,94549,31520,2770,
arXiv_sub_6000-1.gra,6000,133414,sequential,91,208775,65167,141957,1649,
arXiv_sub_6000-1.gra,6000,133414,sequential,91,202141,59306,141264,1570,
arXiv_sub_6000-1.gra,6000,133414,sequential,91,205519,58981,145154,1383,
arXiv_sub_6000-1.gra,6000,133414,sequential,91,216094,65900,148580,1614,
arXiv_sub_6000-1.gra,6000,133414,sequential,91,232101,68797,161751,1552,
ba10k2d.gra,10000,39992,sequential,19,79876,44266,33121,2488,
ba10k2d.gra,10000,39992,sequential,19,71374,39720,29690,1963,
ba10k2d.gra,10000,39992,sequential,19,72753,40602,29918,2232,
ba10k2d.gra,10000,39992,sequential,19,74454,41350,30747,2356,
ba10k2d.gra,10000,39992,sequential,19,75622,40427,32627,2567,
ba10k5d.gra,10000,99950,sequential,39,149930,61914,85878,2137,
ba10k5d.gra,10000,99950,sequential,39,154632,66124,86414,2092,
ba10k5d.gra,10000,99950,sequential,39,162318,69068,90664,2585,
ba10k5d.gra,10000,99950,sequential,41,155712,61355,91811,2544,
ba10k5d.gra,10000,99950,sequential,41,156109,61759,92206,2143,
cit-Patents.scc.gra,3774768,33037894,sequential,105,116757275,43223560,72865112,668601,
cit-Patents.scc.gra,3774768,33037894,sequential,105,118585434,43862165,74046742,676526,
cit-Patents.scc.gra,3774768,33037894,sequential,104,116495204,43478062,72341745,675396,
cit-Patents.scc.gra,3774768,33037894,sequential,106,115864483,43377406,71835961,651116,
cit-Patents.scc.gra,3774768,33037894,sequential,104,115048950,43727184,70651897,669868,
citeseer.scc.gra,693947,624564,sequential,6,5092065,3874925,1098399,118740,
citeseer.scc.gra,693947,624564,sequential,6,5097335,3787955,1194414,114966,
citeseer.scc.gra,693947,624564,sequential,6,5117798,3813644,1182596,121556,
citeseer.scc.gra,693947,624564,sequential,6,5067657,3812141,1133405,122111,
citeseer.scc.gra,693947,624564,sequential,6,5066029,3842373,1091677,131979,
