agrocyc_dag_uniq.gra,12684,27314,sequential,13,106388,87161,16699,2527,
agrocyc_dag_uniq.gra,12684,27314,sequential,13,108822,89706,16377,2739,
agrocyc_dag_uniq.gra,12684,27314,sequential,13,115203,94111,18379,2713,
agrocyc_dag_uniq.gra,12684,27314,sequential,13,118084,96662,18538,2884,
agrocyc_dag_uniq.gra,12684,27314,sequential,13,113968,92517,18771,2678,
amaze_dag_uniq.gra,3710,7894,sequential,8,27893,21421,5382,1090,
amaze_dag_uniq.gra,3710,7894,sequential,8,27906,21277,5494,1134,
amaze_dag_uniq.gra,3710,7894,sequential,8,28036,21532,5356,1147,
amaze_dag_uniq.gra,3710,7894,sequential,7,25012,19493,4584,934,
amaze_dag_uniq.gra,3710,7894,sequential,7,24603,19240,4425,937,
anthra_dag_uniq.gra,12499,26654,sequential,12,104454,86453,15681,2318,
anthra_dag_uniq.gra,12499,26654,sequential,12,109069,89809,16795,2464,
anthra_dag_uniq.gra,12499,26654,sequential,12,105332,87263,15583,2485,
anthra_dag_uniq.gra,12499,26654,sequential,12,104658,86817,15063,2778,
anthra_dag_uniq.gra,12499,26654,sequential,12,113223,92750,17569,2903,
arXiv_sub_6000-1.gra,6000,133414,sequential,108,138988,65247,72074,1666,
arXiv_sub_6000-1.gra,6000,133414,sequential,108,132928,58825,72735,1367,
arXiv_sub_6000-1.gra,6000,133414,sequential,108,131438,58230,71809,1398,
arXiv_sub_6000-1.gra,6000,133414,sequential,109,131343,57971,71937,1434,
arXiv_sub_6000-1.gra,6000,133414,sequential,109,135838,59913,74514,1410,
ba10k2d.gra,10000,39992,sequential,21,61519,39916,19220,2382,
ba10k2d.gra,10000,39992,sequential,21,61085,40018,19095,1972,
ba10k2d.gra,10000,39992,sequential,21,62406,41751,18651,2004,
ba10k2d.gra,10000,39992,sequential,21,65931,41409,22108,2413,
ba10k2d.gra,10000,39992,sequential,21,70470,45792,22159,2519,
ba10k5d.gra,10000,99950,sequential,48,119742,67656,49863,2222,
ba10k5d.gra,10000,99950,sequential,48,110258,59718,48489,2051,
ba10k5d.gra,10000,99950,sequential,41,112920,61317,49376,2226,
ba10k5d.gra,10000,99950,sequential,41,113226,61229,49588,2408,
ba10k5d.gra,10000,99950,sequential,41,120457,62759,55247,2450,
cit-Patents.scc.gra,3774768,33037894,sequential,109,93069569,43613954,48724478,731136,
