rgg_n_2_15_s0.graph,32768,160240,2,14,318252,74102,232044,12028
rgg_n_2_15_s0.graph,32768,160240,2,14,318027,72759,238204,7000
rgg_n_2_15_s0.graph,32768,160240,2,14,309414,72708,229021,7619
rgg_n_2_15_s0.graph,32768,160240,2,14,306723,73259,226476,6922
rgg_n_2_15_s0.graph,32768,160240,2,14,304828,72997,224670,7099
rgg_n_2_15_s0.graph,32768,160240,4,14,160449,37893,114680,7815
rgg_n_2_15_s0.graph,32768,160240,4,13,161701,38664,115069,7907
rgg_n_2_15_s0.graph,32768,160240,4,13,161889,38279,116136,7419
rgg_n_2_15_s0.graph,32768,160240,4,13,162525,38825,116281,7361
rgg_n_2_15_s0.graph,32768,160240,4,13,160249,37946,114753,7492
rgg_n_2_15_s0.graph,32768,160240,8,13,95489,24908,63614,6920
rgg_n_2_15_s0.graph,32768,160240,8,13,96977,23346,66675,6901
rgg_n_2_15_s0.graph,32768,160240,8,13,97988,23419,67642,6873
rgg_n_2_15_s0.graph,32768,160240,8,13,99481,24198,68312,6914
rgg_n_2_15_s0.graph,32768,160240,8,13,95953,23598,65485,6813
rgg_n_2_15_s0.graph,32768,160240,16,13,93233,23746,61834,7590
rgg_n_2_15_s0.graph,32768,160240,16,13,77502,23108,46920,7420
rgg_n_2_15_s0.graph,32768,160240,16,13,77393,23922,45979,7440
rgg_n_2_15_s0.graph,32768,160240,16,13,76961,23313,46020,7472
rgg_n_2_15_s0.graph,32768,160240,16,13,77329,23600,46290,7384
rgg_n_2_21_s0.graph,2097152,14487995,2,19,30080247,5803520,23889835,386825
rgg_n_2_21_s0.graph,2097152,14487995,2,19,30069454,5797942,23892312,379126
rgg_n_2_21_s0.graph,2097152,14487995,2,19,30459460,5817023,24270034,372331
rgg_n_2_21_s0.graph,2097152,14487995,2,19,30086607,5781573,23886015,418945
rgg_n_2_21_s0.graph,2097152,14487995,2,19,30183050,5859634,23949372,373970
rgg_n_2_21_s0.graph,2097152,14487995,4,19,15382428,3037714,11969222,375419
rgg_n_2_21_s0.graph,2097152,14487995,4,19,15388568,3036863,11943960,407677
rgg_n_2_21_s0.graph,2097152,14487995,4,19,15468494,3063273,12018915,386236
rgg_n_2_21_s0.graph,2097152,14487995,4,19,15394850,3047202,11968232,379345
rgg_n_2_21_s0.graph,2097152,14487995,4,19,15644203,3074191,12170955,398994
rgg_n_2_21_s0.graph,2097152,14487995,8,19,8502577,1808273,6285560,408679
rgg_n_2_21_s0.graph,2097152,14487995,8,19,8636929,1902589,6332006,402270
rgg_n_2_21_s0.graph,2097152,14487995,8,19,8637403,1841791,6413771,381779
rgg_n_2_21_s0.graph,2097152,14487995,8,19,8639692,1826028,6407515,406083
rgg_n_2_21_s0.graph,2097152,14487995,8,19,8675338,1837775,6416796,420697
rgg_n_2_21_s0.graph,2097152,14487995,16,19,6405743,1812796,4181674,411204
rgg_n_2_21_s0.graph,2097152,14487995,16,19,6446975,1818896,4241483,386527
rgg_n_2_21_s0.graph,2097152,14487995,16,19,6375489,1806365,4155408,413648
rgg_n_2_21_s0.graph,2097152,14487995,16,19,6502450,1846816,4197856,457710
rgg_n_2_21_s0.graph,2097152,14487995,16,19,6401487,1809567,4200228,391624
rgg_n_2_24_s0.graph,16777216,132557200,2,22,283726876,51058049,229744933,2923823
rgg_n_2_24_s0.graph,16777216,132557200,2,22,279783674,50463643,226350530,2969425
rgg_n_2_24_s0.graph,16777216,132557200,2,21,282225579,51035823,228192742,2996939
rgg_n_2_24_s0.graph,16777216,132557200,2,22,283453940,51077641,229438563,2937667
rgg_n_2_24_s0.graph,16777216,132557200,2,22,280685009,50494864,227166162,3023910
rgg_n_2_24_s0.graph,16777216,132557200,4,22,146411411,27134380,116320684,2956274
rgg_n_2_24_s0.graph,16777216,132557200,4,21,145079726,26749661,115467654,2862344
rgg_n_2_24_s0.graph,16777216,132557200,4,22,145438260,26901031,115612455,2924702
rgg_n_2_24_s0.graph,16777216,132557200,4,22,146337335,26880291,116389631,3067341
rgg_n_2_24_s0.graph,16777216,132557200,4,22,145623855,26923490,115772449,2927727
rgg_n_2_24_s0.graph,16777216,132557200,8,21,78092815,16290804,58836330,2965611
rgg_n_2_24_s0.graph,16777216,132557200,8,22,78125652,16173895,58949643,3002048
rgg_n_2_24_s0.graph,16777216,132557200,8,22,78592675,16307962,59218590,3066054
rgg_n_2_24_s0.graph,16777216,132557200,8,21,78313158,16196886,59115148,3001068
rgg_n_2_24_s0.graph,16777216,132557200,8,21,78483975,16248487,59279133,2956291
rgg_n_2_24_s0.graph,16777216,132557200,16,22,58606793,15834137,39804933,2967653
rgg_n_2_24_s0.graph,16777216,132557200,16,21,59292385,16385154,39850686,3056475
rgg_n_2_24_s0.graph,16777216,132557200,16,21,58486137,15750289,39771614,2964162
rgg_n_2_24_s0.graph,16777216,132557200,16,22,60655450,16318314,41014813,3322267
rgg_n_2_24_s0.graph,16777216,132557200,16,22,60961047,17898423,40004834,3057718
agrocyc_dag_uniq.gra,12684,-799077024,2,4,105544,81627,20840,3023
agrocyc_dag_uniq.gra,12684,673975648,2,4,103764,79829,20867,3005
agrocyc_dag_uniq.gra,12684,267586912,2,4,124347,98329,22951,2998
agrocyc_dag_uniq.gra,12684,-745226940,2,4,111528,85463,23165,2845
agrocyc_dag_uniq.gra,12684,-211808928,2,4,113048,85600,24575,2821
agrocyc_dag_uniq.gra,12684,1879,4,4,103032,86729,13098,3149
agrocyc_dag_uniq.gra,12684,1879,4,4,102138,85617,13389,3083
