rgg_n_2_15_s0.graph;32768;160240;2;14;243629;70844;160404;12304
rgg_n_2_15_s0.graph;32768;160240;2;14;230628;69287;154433;6840
rgg_n_2_15_s0.graph;32768;160240;2;14;231749;69776;155159;6752
rgg_n_2_15_s0.graph;32768;160240;2;15;230605;70203;153770;6568
rgg_n_2_15_s0.graph;32768;160240;2;15;235454;68787;159640;6960
rgg_n_2_15_s0.graph;32768;160240;4;15;123193;36118;79593;7431
rgg_n_2_15_s0.graph;32768;160240;4;15;130164;36533;86020;7464
rgg_n_2_15_s0.graph;32768;160240;4;15;123562;36291;79797;7422
rgg_n_2_15_s0.graph;32768;160240;4;14;124854;36413;81768;6611
rgg_n_2_15_s0.graph;32768;160240;4;14;123444;36755;79785;6860
rgg_n_2_15_s0.graph;32768;160240;8;14;78320;22905;48149;7216
rgg_n_2_15_s0.graph;32768;160240;8;14;78481;21896;49739;6789
rgg_n_2_15_s0.graph;32768;160240;8;14;79756;23252;49624;6830
rgg_n_2_15_s0.graph;32768;160240;8;14;77507;22415;48366;6670
rgg_n_2_15_s0.graph;32768;160240;8;14;78166;22037;49236;6838
rgg_n_2_15_s0.graph;32768;160240;16;14;62094;20585;34551;6905
rgg_n_2_15_s0.graph;32768;160240;16;14;62198;20622;34627;6897
rgg_n_2_15_s0.graph;32768;160240;16;14;62663;20570;34527;7514
rgg_n_2_15_s0.graph;32768;160240;16;14;62878;20376;34968;7471
rgg_n_2_15_s0.graph;32768;160240;16;14;80947;22419;51638;6826
rgg_n_2_21_s0.graph;2097152;14487995;2;20;21852728;5629437;15851154;372063
rgg_n_2_21_s0.graph;2097152;14487995;2;21;21493656;5639603;15481076;372904
rgg_n_2_21_s0.graph;2097152;14487995;2;20;21978553;5598329;15991769;388381
rgg_n_2_21_s0.graph;2097152;14487995;2;21;21856936;5648482;15817252;391127
rgg_n_2_21_s0.graph;2097152;14487995;2;20;21568674;5543056;15636205;389338
rgg_n_2_21_s0.graph;2097152;14487995;4;20;11404902;2887234;8069660;447937
rgg_n_2_21_s0.graph;2097152;14487995;4;19;11315116;2892771;8053181;369092
rgg_n_2_21_s0.graph;2097152;14487995;4;21;11242407;2874244;8001077;367020
rgg_n_2_21_s0.graph;2097152;14487995;4;22;11192934;2874030;7959480;359347
rgg_n_2_21_s0.graph;2097152;14487995;4;20;11252688;2907672;7973679;371263
rgg_n_2_21_s0.graph;2097152;14487995;8;20;6302668;1685904;4264016;352685
rgg_n_2_21_s0.graph;2097152;14487995;8;21;6330130;1666991;4263822;399248
rgg_n_2_21_s0.graph;2097152;14487995;8;19;6368690;1710612;4284729;373283
rgg_n_2_21_s0.graph;2097152;14487995;8;21;6423210;1669702;4371653;381787
rgg_n_2_21_s0.graph;2097152;14487995;8;20;6352148;1686613;4287052;378421
rgg_n_2_21_s0.graph;2097152;14487995;16;20;5103230;1714647;2966678;421832
rgg_n_2_21_s0.graph;2097152;14487995;16;20;4982905;1686783;2902017;394018
rgg_n_2_21_s0.graph;2097152;14487995;16;21;5034499;1688107;2947937;398386
rgg_n_2_21_s0.graph;2097152;14487995;16;20;5021929;1689065;2900461;432336
rgg_n_2_21_s0.graph;2097152;14487995;16;20;4973614;1687280;2896940;389326
rgg_n_2_24_s0.graph;16777216;132557200;2;24;186302444;45593103;137794008;2915257
rgg_n_2_24_s0.graph;16777216;132557200;2;23;201313704;49405901;148881620;3026106
rgg_n_2_24_s0.graph;16777216;132557200;2;23;202768837;49348526;150498335;2921900
rgg_n_2_24_s0.graph;16777216;132557200;2;24;201452841;48829680;149658191;2964899
rgg_n_2_24_s0.graph;16777216;132557200;2;23;200306801;48654849;148706385;2945496
rgg_n_2_24_s0.graph;16777216;132557200;4;25;104490394;25478457;76031455;2980414
rgg_n_2_24_s0.graph;16777216;132557200;4;25;104158087;25302901;75876972;2978138
rgg_n_2_24_s0.graph;16777216;132557200;4;24;103972532;25386515;75728960;2856986
rgg_n_2_24_s0.graph;16777216;132557200;4;23;104111375;25263458;75819749;3028096
rgg_n_2_24_s0.graph;16777216;132557200;4;25;104359118;25469733;75981143;2908171
rgg_n_2_24_s0.graph;16777216;132557200;8;24;57257884;14933598;39331863;2992356
rgg_n_2_24_s0.graph;16777216;132557200;8;23;57250404;14740916;39496887;3012532
rgg_n_2_24_s0.graph;16777216;132557200;8;23;57449589;14998560;39468036;2982924
rgg_n_2_24_s0.graph;16777216;132557200;8;24;56909453;14715901;39234199;2959284
rgg_n_2_24_s0.graph;16777216;132557200;8;23;57971647;15167044;39759247;3045286
rgg_n_2_24_s0.graph;16777216;132557200;16;24;45167136;14681425;27452497;3033115
rgg_n_2_24_s0.graph;16777216;132557200;16;23;45293873;14576449;27435902;3281449
rgg_n_2_24_s0.graph;16777216;132557200;16;23;45470050;14889561;27541545;3038872
rgg_n_2_24_s0.graph;16777216;132557200;16;25;45012948;14590382;27390192;3032301
rgg_n_2_24_s0.graph;16777216;132557200;16;24;44797626;14551271;27215609;3030674
agrocyc_dag_uniq.gra;12684;27314;2;5;124792;88485;28475;7779
agrocyc_dag_uniq.gra;12684;27314;2;5;124169;92661;28484;2969
agrocyc_dag_uniq.gra;12684;27314;2;5;118119;85928;29153;2978
agrocyc_dag_uniq.gra;12684;27314;2;5;118363;86117;29227;2963
agrocyc_dag_uniq.gra;12684;27314;2;5;120203;87683;29456;2991
agrocyc_dag_uniq.gra;12684;27314;4;5;109454;87460;19076;2866
agrocyc_dag_uniq.gra;12684;27314;4;5;107469;85667;18892;2859
